95, 2
97, 5
98, 6
96, 0
97, 7
98, 0
94, 5
101, 1
95, 3
98, 1
96, 2
102, 2
92, 4
105, -1
95, 9
94, -6
109, 9
84, -1
111, 1
91, 4
96, -1
104, 5
90, -4
105, 6
92, -4
101, 7
93, -3
102, 3
92, 3
102, -6
92, 7
103, -5
93, 2
103, 2
95, -6
100, 6
98, -7
92, 4
110, -3
85, 0
110, 1
90, -5
103, 4
95, -10
102, 7
95, -9
99, 2
100, -5
96, 0
101, -3
95, -3
98, -1
103, -5
89, 3
106, -9
92, 7
102, -10
97, 6
96, -10
102, 2
93, -7
105, 1
89, -5
111, -4
86, -3
110, -7
90, 0
103, -10
97, 1
98, -6
99, -2
98, -8
99, 0
99, -11
101, -1
96, -9
104, -3
94, -6
101, -6
97, -5
101, -6
97, -2
102, -9
95, -2
106, -11
89, 0
108, -10
90, -4
103, -9
100, -8
95, -2
101, -16
98, 5
97, -15
98, -5
101, -5
97, -11
102, -3
96, -12
104, -5
95, -6
103, -12
96, -2
99, -15
101, -2
94, -16
103, -4
97, -13
98, -6
103, -11
93, -9
106, -5
93, -16
105, -1
95, -14
101, -8
100, -14
96, -4
102, -18
96, 1
101, -20
99, -2
95, -15
107, -8
91, -11
105, -10
97, -10
101, -12
97, -10
104, -11
94, -12
104, -11
100, -14
98, -8
102, -18
96, -6
102, -16
97, -12
101, -8
96, -17
104, -8
93, -17
108, -10
91, -16
106, -10
92, -18
101, -10
101, -19
94, -8
104, -19
97, -10
98, -18
105, -11
91, -15
111, -12
87, -15
109, -15
93, -13
104, -16
100, -14
95, -18
105, -13
89, -15
110, -13
89, -18
106, -14
97, -16
97, -17
109, -13
89, -18
107, -13
96, -17
101, -19
101, -15
99, -18
100, -17
96, -15
106, -18
89, -16
115, -18
82, -16
115, -18
87, -19
110, -13
93, -22
106, -12
94, -21
102, -14
97, -22
100, -13
99, -25
99, -13
104, -22
93, -17
108, -20
91, -22
108, -15
93, -24
102, -12
96, -28
104, -10
94, -27
106, -15
96, -24
101, -17
100, -21
99, -23
102, -17
94, -24
105, -21
93, -22
105, -21
93, -20
105, -23
94, -20
104, -21
100, -23
97, -22
105, -22
95, -24
102, -22
98, -23
102, -23
98, -23
100, -22
98, -24
102, -26
97, -20
98, -30
105, -20
93, -27
108, -19
92, -30
107, -17
96, -28
100, -23
99, -22
99, -27
102, -22
95, -29
106, -21
94, -29
101, -23
102, -30
94, -21
104, -31
94, -23
106, -29
94, -24
103, -27
97, -21
97, -31
106, -21
90, -28
106, -29
91, -21
107, -33
95, -20
102, -29
99, -26
102, -26
94, -28
110, -27
89, -28
110, -26
95, -28
96, -29
103, -25
95, -32
101, -23
98, -34
99, -23
101, -33
98, -25
99, -30
104, -27
90, -31
111, -27
92, -29
101, -28
99, -31
97, -28
103, -30
98, -29
100, -31
98, -30
104, -32
94, -28
107, -31
93, -27
105, -32
96, -30
100, -29
100, -34
97, -26
102, -36
98, -27
97, -36
102, -29
96, -30
98, -35
103, -30
94, -32
102, -33
97, -31
100, -31
